Национальная цель;Показатель;Статистический индикатор;Единица измерения;Тип индикатора;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2035;Нацпроект;Ответственный (ФОИВ);Использовать для агента;Раздел;Декомпозиция по регионам;Периодичность обновления;Ссылка;Год данных;Период;Формат;Примечание;Методика расчета;Тип показателя;
2. Реализация потенциала каждого человека, развитие его талантов, воспитание патриотичной и социально ответственной личности;2.9. Формирование к 2030 году современной системы профессионального развития педагогических работников для всех уровней образования, предусматривающей ежегодное дополнительное профессиональное образование на основе актуализированных профессиональных стандартов не менее чем 10 процентов педагогических работников на базе ведущих образовательных организаций высшего образования и научных организаций;2.9. Доля педагогических работников для всех уровней образования, прошедших обучение по программам дополнительного профессионального образования на основе актуализированных профессиональных стандартов на базе ведущих образовательных организаций высшего образования и научных организаций, %;%;Основной;;;;;1.25;3;4.75;6.5;8.25;10;;НП «Молодежь и дети»;Чернышенко Д.Н.;;;;;;;;;;;;
3. Комфортная и безопасная среда для жизни;3.1. Улучшение качества среды для жизни в опорных населенных пунктах на 30 процентов к 2030 году и на 60 процентов к 2036 году;3.1. Улучшение качества среды для жизни в опорных населенных пунктах, %;%;Основной;;;;;13;16;19;23;27;30;60;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62872;2025;2025;ЕМИСС, формат данных ;;Приказ Минстроя России от от 2 декабря 2024 г. № 811/пр;Прямой;
3. Комфортная и безопасная среда для жизни;3.2. Обеспечение граждан жильем общей площадью не менее 33 кв. метров на человека к 2030 году и не менее 38 кв. метров к 2036 году;3.2. Общая площадь жилых помещений, приходящаяся в среднем на одного жителя, кв. м на 1 человека;кв. м на 1 человека;Основной;27.5;28.2;28.8;29.4;30;30.5;31.1;31.7;32.3;33;38;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;год;https://fedstat.ru/indicator/40466;2024;2008-2024;ЕМИСС, формат данных ;;;Прямой;
3. Комфортная и безопасная среда для жизни;3.2. Обеспечение граждан жильем общей площадью не менее 33 кв. метров на человека к 2030 году и не менее 38 кв. метров к 2036 году;Дополнительный: Объем жилищного строительства, млн кв. м;млн кв. м;Дополнительный;92.6;102.7;110.4;90;92.8;93.8;98.9;104.8;112.6;120;128.7;НП «Инфраструктура для жизни»;Минстрой России;;;да;ежемесячно;https://www.fedstat.ru/indicator/59263;2025;2020-2025;ЕМИСС, формат данных ;Доп.показатель ;;Прямой;
3. Комфортная и безопасная среда для жизни;3.3. Обновление к 2030 году жилищного фонда не менее чем на 20 процентов по сравнению с показателем 2019 года;3.3. Доля жилищного фонда, обновленного после 2019 года, %;%;Основной;4.3;6.7;9.2;11.4;13.3;15.2;17.1;19;21;23;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;уточнить;Social;;год;https://fedstat.ru/indicator/62876;;2025;ЕМИСС, формат данных ;данные не опубликованы (публикация в 2026 по итогам 2025);;Прямой;
3. Комфортная и безопасная среда для жизни;3.3. Обновление к 2030 году жилищного фонда не менее чем на 20 процентов по сравнению с показателем 2019 года;Дополнительный: Объем жилищного строительства, млн кв. м;млн кв. м;Дополнительный;92.6;102.7;110.4;90;92.8;93.8;98.9;104.8;112.6;120;;НП «Инфраструктура для жизни»;Минстрой России;;;;;;;;;;;;
3. Комфортная и безопасная среда для жизни;3.4. Устойчивое сокращение непригодного для проживания жилищного фонда;3.4. Количество граждан, переселенных из непригодного для проживания жилищного фонда (с 2019 года), тыс. человек;тыс. человек;Основной;272;472;682;781;789;840;892;954;1018;1125;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62890;;;ЕМИСС, формат данных ;Данные не опубликованы (срок - 30.04.26);Приказ Минстроя России от 09.10.2024 № 686/пр;Прямой;
3. Комфортная и безопасная среда для жизни;3.5. Повышение доступности жилья на первичном рынке;3.5. Доступность жилья на первичном рынке, %;%;Основной;;;;100;101;102;103;104;105;106;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;уточнить;Social;;год;https://fedstat.ru/indicator/62875;;;ЕМИСС, формат данных ;Данные не опубликованы (срок - 30.04.26);;Прямой;
3. Комфортная и безопасная среда для жизни;3.5. Повышение доступности жилья на первичном рынке;Дополнительный: Реальные денежные доходы населения, в % к предыдущему году;в % к предыдущему году;Дополнительный;103.9;104;105.6;107.2;106.2;104.8;103.5;103.1;103.1;103.1;;Единый план;Минэкономразвития России, Минтруд России;;;;;;;;;;;;
3. Комфортная и безопасная среда для жизни;3.5. Повышение доступности жилья на первичном рынке;Дополнительный: Реальная заработная плата, в % к предыдущему году;в % к предыдущему году;Дополнительный;104.5;100.3;108.2;109.2;107;105.7;104.1;103.2;103.2;103.2;;Единый план;Минэкономразвития России;;;;;;;;;;;;
3. Комфортная и безопасная среда для жизни;3.6. Благоустройство не менее чем 30 тыс. общественных территорий и реализация в малых городах и исторических поселениях не менее чем 1600 проектов победителей Всероссийского конкурса лучших проектов создания комфортной городской среды к 2030 году;3.6.а. Количество благоустроенных общественных территорий, ед.;ед.;Основной;;;;;5000;10000;15000;20000;25000;30000;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62893;2025;2025;ЕМИСС, формат данных ;благоустройство проводится летом;Приказ Минстроя России от 26.09.2024 № 651/пр;Прямой;
3. Комфортная и безопасная среда для жизни;3.6. Благоустройство не менее чем 30 тыс. общественных территорий и реализация в малых городах и исторических поселениях не менее чем 1600 проектов победителей Всероссийского конкурса лучших проектов создания комфортной городской среды к 2030 году;3.6.б. Количество реализованных проектов победителей Всероссийского конкурса лучших проектов создания комфортной городской среды, ед.;ед.;Основной;;;;;195;483;771;1059;1347;1635;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62892;2025;2025;ЕМИСС, формат данных ;;Приказ Минстроя России от 26.09.2024 № 651/пр;Прямой;
3. Комфортная и безопасная среда для жизни;3.7. Реализация программы модернизации коммунальной инфраструктуры и улучшение качества предоставляемых коммунальных услуг для 20 млн человек к 2030 году;3.7. Численность населения, для которого улучшится качество предоставления коммунальных услуг (в сфере тепло-, водоснабжения и водоотведения), млн чел.;млн чел.;Основной;;;;;1.3;3.1;5.6;9.1;13.8;20;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62882;2025;2025;ЕМИСС, формат данных ;данные накопленным итогом. По многим регионам стоит О ;Приказ Минстроя России от 16.12.2024 № 865/пр;Прямой;
3. Комфортная и безопасная среда для жизни;3.8. Строительство и реконструкция (модернизация) не менее чем 2 тыс. объектов питьевого водоснабжения и водоподготовки к 2030 году;3.8. Количество построенных и реконструированных (модернизированных) объектов питьевого водоснабжения и водоподготовки, шт. (с 2019 года);шт.;Основной;431;794;1183;1413;1470;1576;1682;1788;1894;2000;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62881;2025;2025;ЕМИСС, формат данных ;в Паспорте указан ряд 2025 г ;Приказ Минстроя России от 16.12.2024 № 864/пр;Прямой;
3. Комфортная и безопасная среда для жизни;3.9. Обеспечение значимого роста энергетической и ресурсной эффективности в жилищно-коммунальном хозяйстве, промышленном и инфраструктурном строительстве;3.9. Длительность инвестиционно-строительного цикла, сутки;сутки;Основной;;;1400;1300;1250;1200;1150;1100;1050;1000;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;нет;Social;нет;ежемесячно;https://fedstat.ru/indicator/62879;2025;2025;ЕМИСС, формат данных ;Похожие данные есть в АСИ - обсудить возможность их получения;Приказ Минстроя России от 05.12.2024 № 835/пр;Обратный;
3. Комфортная и безопасная среда для жизни;3.9. Обеспечение значимого роста энергетической и ресурсной эффективности в жилищно-коммунальном хозяйстве, промышленном и инфраструктурном строительстве;Дополнительный: Индекс устойчивого энергосбережения в строительстве, %;%;Дополнительный;;;;;0.78;1.5;1.96;2.29;2.53;2.72;;ФП «Новый ритм строительства» (НП «Инфраструктура для жизни»);Минстрой России;уточнить;Social;;;;;;ЕМИСС, формат данных ;ссылка не сформирована, дата не опубликована ;;Прямой;
3. Комфортная и безопасная среда для жизни;3.10. Увеличение к 2030 году в агломерациях и городах доли парка общественного транспорта, имеющего срок эксплуатации не старше нормативного, не менее чем до 85 процентов;3.10. Доля парка общественного транспорта в агломерациях и городах, имеющего срок эксплуатации не старше нормативного, %;%;Основной;;;;59.6;61.7;64;67.4;73.1;78.8;85;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;уточнить;Social;нет;ежемесячно;https://fedstat.ru/indicator/62887;2025;2025;ЕМИСС, формат данных ;Далее подключить инфо от ГИБДД по автопарку с разбивкой по регионам ;Распоряжение Минтранса России от 28.12.2024 № ВИ-296-р;Прямой;
3. Комфортная и безопасная среда для жизни;3.11. Увеличение к 2030 году доли соответствующих нормативным требованиям автомобильных дорог федерального значения и дорог крупнейших городских агломераций не менее чем до 85 процентов, опорной сети автомобильных дорог – не менее чем до 85 процентов, автомобильных дорог регионального или межмуниципального значения – не менее чем до 60 процентов;3.11.а. Доля дорожной сети крупнейших городских агломераций, находящейся в нормативном состоянии, %;%;Основной;75;79;82;85;85;85;85;85;85;85;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62795;2025;2025;ЕМИСС, формат данных ;;Приказ Росавтодора от 29.11.2024 № 160;Прямой;
3. Комфортная и безопасная среда для жизни;3.11. Увеличение к 2030 году доли соответствующих нормативным требованиям автомобильных дорог федерального значения и дорог крупнейших городских агломераций не менее чем до 85 процентов, опорной сети автомобильных дорог – не менее чем до 85 процентов, автомобильных дорог регионального или межмуниципального значения – не менее чем до 60 процентов;3.11.б. Доля автомобильных дорог регионального и межмуниципального значения, соответствующих нормативным требованиям, %;%;Основной;48;50;53;54;55;56;57;58;59;60;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62794;2025;2025;ЕМИСС, формат данных ;;Приказ Росавтодора от 29.11.2024 № 160;Прямой;
3. Комфортная и безопасная среда для жизни;3.11. Увеличение к 2030 году доли соответствующих нормативным требованиям автомобильных дорог федерального значения и дорог крупнейших городских агломераций не менее чем до 85 процентов, опорной сети автомобильных дорог – не менее чем до 85 процентов, автомобильных дорог регионального или межмуниципального значения – не менее чем до 60 процентов;3.11.в. Доля автомобильных дорог, входящих в опорную сеть, соответствующих нормативным требованиям, %;%;Основной;;;71.1;72.7;70.5;71.2;75.9;81.2;82.7;85;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62801;2025;2025;ЕМИСС, формат данных ;;Приказ Росавтодора от 29.11.2024 № 160;Прямой;
3. Комфортная и безопасная среда для жизни;3.11. Увеличение к 2030 году доли соответствующих нормативным требованиям автомобильных дорог федерального значения и дорог крупнейших городских агломераций не менее чем до 85 процентов, опорной сети автомобильных дорог – не менее чем до 85 процентов, автомобильных дорог регионального или межмуниципального значения – не менее чем до 60 процентов;3.11.г. Доля автомобильных дорог федерального значения, находящихся в нормативном состоянии, %;%;Основной;76.1;72.7;73.8;69.4;68.2;68.5;71.5;81.6;83.5;85;;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;нет;ежемесячно;https://fedstat.ru/indicator/62798;2025;2025;ЕМИСС, формат данных ;Показатель в принципе не декомпозтируется на регины. Пока используем, если будет мешать - исключим ;Приказ Росавтодора от 29.11.2024 № 160;Прямой;
3. Комфортная и безопасная среда для жизни;3.12. Снижение смертности в результате дорожно-транспортных происшествий в полтора раза к 2030 году и в два раза к 2036 году по сравнению с показателем 2023 года;3.12. Количество погибших в дорожно-транспортных происшествиях на 10 тыс. транспортных средств, человек;человек;Основной;2.47;2.34;2.36;2.36;2.24;2.13;2.02;1.88;1.74;1.57;1.18;НП «Инфраструктура для жизни»;Хуснуллин М.Ш.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62083;2025;2024-2025;ЕМИСС, формат данных ;;Распоряжение МВД России от 25.09.2024 № 1/11343;Обратный;
3. Комфортная и безопасная среда для жизни;3.13. Увеличение к 2030 году авиационной подвижности населения не менее чем на 50 процентов по сравнению с показателем 2023 года при обеспечении к 2030 году доли самолетов отечественного производства в парке российских авиаперевозчиков не менее чем 50 процентов;3.13.а. Авиационная подвижность населения, полетов на 1 чел. в год;полетов на 1 чел. в год;Основной;0.76;0.65;0.72;0.76;0.75;0.77;0.79;0.87;0.97;1.08;;НП «Эффективная транспортная система»;Савельев В.Г.;нет;Social;нет;ежемесячно;https://fedstat.ru/indicator/62832;2025;2025;ЕМИСС, формат данных ;;Приказ Минтранса России от 01.11.2024 № 388;Прямой;
3. Комфортная и безопасная среда для жизни;3.13. Увеличение к 2030 году авиационной подвижности населения не менее чем на 50 процентов по сравнению с показателем 2023 года при обеспечении к 2030 году доли самолетов отечественного производства в парке российских авиаперевозчиков не менее чем 50 процентов;3.13.б. Доля самолетов отечественного производства в парке российских авиаперевозчиков, %;%;Основной;;;;19;19;20;25;30;37;50;;Единый план;Мантуров Д.В.;;;;;;;;;;;;
3. Комфортная и безопасная среда для жизни;3.14. Завершение до конца 2030 года капитального ремонта зданий дошкольных образовательных организаций и общеобразовательных организаций, признанных нуждающимися в проведении такого ремонта по состоянию на 1 января 2025 года;3.14.а. Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций, %;%;Основной;;;;;0.5;1.47;2.49;3.76;5.02;6.3;;НП «Семья»;Голикова Т.А.;да;Social;нет;ежемесячно;https://www.fedstat.ru/indicator/63037;2025;2025;ЕМИСС, формат данных ;Использовать данные Минпросвещения ;;Прямой;
3. Комфортная и безопасная среда для жизни;3.14. Завершение до конца 2030 года капитального ремонта зданий дошкольных образовательных организаций и общеобразовательных организаций, признанных нуждающимися в проведении такого ремонта по состоянию на 1 января 2025 года;3.14.б. Доля зданий общеобразовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий общеобразовательных организаций, %;%;Основной;;;;;9.61;11.44;13.17;15.14;18.58;21.2;;НП «Молодежь и дети»;Чернышенко Д.Н.;да;Social;нет;ежемесячно;https://fedstat.ru/indicator/63036;2025;2025;ЕМИСС, формат данных ;Использовать данные Минпросвещения ;;Прямой;
3. Комфортная и безопасная среда для жизни;3.15. Обеспечение в рамках программы социальной газификации населения подключения к сетевому природному газу не менее чем 1.6 млн. домовладений к 2030 году и не менее чем 3 млн. домовладений к 2036 году;3.15. Количество подключенных домовладений к сетевому природному газу в рамках программы социальной газификации населения, млн единиц;млн единиц;Основной;0.03;0.22;0.48;0.7;0.85;1;1.15;1.3;1.45;1.6;3;НП «Инфраструктура для жизни»;Новак А.В.;да;Social;нет;ежемесячно;https://fedstat.ru/indicator/63052;2025;2025;ЕМИСС, формат данных ;;;Прямой;
3. Комфортная и безопасная среда для жизни;3.16. Оснащение к 2030 году необходимым оборудованием до 900 центров воспроизведения аудиовизуального контента в малых населенных пунктах (с численностью населения до 50 тыс. человек) в целях обеспечения доступа граждан к достижениям современного российского кинематографа, подключение таких центров к единой цифровой платформе, содержащей в том числе библиотеку аудиовизуального контента;3.16. Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии, единиц;единиц;Основной;;;;;40;180;410;570;735;900;;НП «Семья»;Голикова Т.А.;уточнить;Social;нет;ежемесячно;https://fedstat.ru/indicator/62826;2025;2025;ЕМИСС, формат данных ;;Приказ Минкультуры России от 13.12.2024 № 2562  ;Прямой;
4. Экологическое благополучие;4.1. Формирование экономики замкнутого цикла, обеспечивающей к 2030 году сортировку 100 процентов объема ежегодно образуемых твердых коммунальных отходов, захоронение не более чем 50 процентов таких отходов и вовлечение в хозяйственный оборот не менее чем 25 процентов отходов производства и потребления в качестве вторичных ресурсов и сырья;4.1.а. Индекс использования вторичных ресурсов и сырья из отходов в отраслях экономики, %;%;Основной;;6;10;10;12;14;16;19;22;25;;НП «Экологическое благополучие»;Патрушев Д.Н.;нет;E;нет;ежемесячно;https://fedstat.ru/indicator/62787;2025;2025;ЕМИСС + ;смотреть долю утидизации ТКО ;;Прямой;
4. Экологическое благополучие;4.1. Формирование экономики замкнутого цикла, обеспечивающей к 2030 году сортировку 100 процентов объема ежегодно образуемых твердых коммунальных отходов, захоронение не более чем 50 процентов таких отходов и вовлечение в хозяйственный оборот не менее чем 25 процентов отходов производства и потребления в качестве вторичных ресурсов и сырья;4.1.б. Доля захораниваемых ТКО в общей массе образованных ТКО, %;%;Основной;73.2;81.7;80.5;87.9;86.6;86.3;80.8;75.2;69.6;50;;НП «Экологическое благополучие»;Патрушев Д.Н.;да;E;да;ежемесячно;https://fedstat.ru/indicator/62793;2025;2025;;;;Обратный;
4. Экологическое благополучие;4.1. Формирование экономики замкнутого цикла, обеспечивающей к 2030 году сортировку 100 процентов объема ежегодно образуемых твердых коммунальных отходов, захоронение не более чем 50 процентов таких отходов и вовлечение в хозяйственный оборот не менее чем 25 процентов отходов производства и потребления в качестве вторичных ресурсов и сырья;4.1.в. Доля обрабатываемых ТКО в общей массе образованных ТКО,%;%;Основной;43.3;49.9;53.4;50.2;53.9;54.6;62.3;73.6;85;100;;НП «Экологическое благополучие»;Патрушев Д.Н.;да;E;да;ежемесячно;https://fedstat.ru/indicator/62792;2025;2025;tЕМИС;;;Прямой;
4. Экологическое благополучие;4.2. Поэтапное снижение к 2036 году в два раза выбросов опасных загрязняющих веществ, оказывающих наибольшее негативное воздействие на окружающую среду и здоровье человека, в городах с высоким и очень высоким уровнем загрязнения атмосферного воздуха;4.2. Совокупный объем выбросов опасных загрязняющих веществ в 29 городах – участниках федерального проекта, %;%;Основной;100;100;100;100;99.5;98.5;97.5;93;86.5;80;50;НП «Экологическое благополучие»;Патрушев Д.Н.;нет;E;да;ежемесячно;https://fedstat.ru/indicator/62863;2025;2025;емисс;данные в разбивке по 65 МО. Использовать при доработке решения (не в текущей версии), тк необходимо предсатвлять задачу по городам (а не по ргеионам) ;Приказ Минприроды России от 03.12.2024 № 702;Обратный;
4. Экологическое благополучие;4.3. Ликвидация до конца 2030 года не менее чем 50 опасных объектов накопленного вреда окружающей среде, утилизация и обезвреживание к 2036 году не менее чем 50 процентов общего объема отходов I и II классов опасности;4.3.а. Количество ликвидированных опасных для населения и окружающей среды объектов накопленного вреда окружающей среде, шт.;шт.;Основной;;;;;1;2;8;12;28;50;;НП «Экологическое благополучие»;Патрушев Д.Н.;нет;E;нет;нет;;;;;нет данных;;Прямой;
4. Экологическое благополучие;4.3. Ликвидация до конца 2030 года не менее чем 50 опасных объектов накопленного вреда окружающей среде, утилизация и обезвреживание к 2036 году не менее чем 50 процентов общего объема отходов I и II классов опасности;4.3.б. Доля утилизированных отходов в общем объеме отходов I и II классов опасности, %;%;Основной;;;29;29;33.1;34.6;40.5;44.8;49.7;52.9;52.9;НП «Экологическое благополучие»;Патрушев Д.Н.;нет;E;нет;нет;;;;;нет данных ;;Прямой;
4. Экологическое благополучие;4.4. Снижение к 2036 году в два раза объема неочищенных сточных вод, сбрасываемых в основные водные объекты, сохранение уникальной экологической системы озера Байкал;4.4.а. Объем неочищенных сточных вод, сбрасываемых в основные водные объекты, млрд куб. м;млрд куб. м;Основной;11.5;11.3;10.8;10.8;10.8;10.8;10.8;10.8;10.8;9.2;5.4;НП «Экологическое благополучие»;Патрушев Д.Н.;да;E;нет;ежемесячно;https://fedstat.ru/indicator/62871;2025;2025;емисс;данные в справочнике по регионам ;;Обратный;
4. Экологическое благополучие;4.4. Снижение к 2036 году в два раза объема неочищенных сточных вод, сбрасываемых в основные водные объекты, сохранение уникальной экологической системы озера Байкал;4.4.б. Негативное воздействие на Центральную экологическую зону Байкальской природной территории, %;%;Основной;96.3;96.3;96.3;96.3;95.2;77.6;74.6;71.9;62.4;54.7;;НП «Экологическое благополучие»;Патрушев Д.Н.;нет;E;нет;ежемесячно;https://fedstat.ru/indicator/62854;;;;использование для ББ -на следуюших этапах доработки ;;Обратный;
4. Экологическое благополучие;4.5. Сохранение лесов и биологического разнообразия, устойчивое развитие особо охраняемых природных территорий и создание условий для экологического туризма во всех национальных парках;4.5.а. Отношение площади лесовосстановления и лесоразведения к площади вырубленных и погибших лесных насаждений, %;%;Основной;111;119;100;100;100;103;106;109;110;112;;НП «Экологическое благополучие»;Патрушев Д.Н.;да;E;да;ежемесячно;https://fedstat.ru/indicator/62781;2025;2025;емисс;Большая сезонность фактора - лучше смотреть по году ;;Прямой;
4. Экологическое благополучие;4.5. Сохранение лесов и биологического разнообразия, устойчивое развитие особо охраняемых природных территорий и создание условий для экологического туризма во всех национальных парках;4.5.б. Доля редких и находящихся под угрозой исчезновения объектов животного мира (птиц и млекопитающих), находящихся под особой охраной, охваченных мероприятиями по восстановлению их численности, %;%;Основной;;;;25;27;29;31;33;33;33;;НП «Экологическое благополучие»;Патрушев Д.Н.;нет;E;нет;ежемесячно;https://www.fedstat.ru/indicator/62778;2025;2025;ЕМИСС;в качестве источника данных использовать рег отчеты по регионам ;;Прямой;
4. Экологическое благополучие;4.5. Сохранение лесов и биологического разнообразия, устойчивое развитие особо охраняемых природных территорий и создание условий для экологического туризма во всех национальных парках;4.5.в. Количество посетителей особо охраняемых природных территорий федерального значения, млн чел.;млн чел.;Основной;10.6;14;14.6;12;15;15.3;16.5;17.5;18.7;20.6;;НП «Экологическое благополучие»;Патрушев Д.Н.;да;E;нет;ежемесячно;https://fedstat.ru/indicator/62777;2025;2025;емисс;;;Прямой;
5. Устойчивая и динамичная экономика;5.1. Обеспечение темпа роста валового внутреннего продукта страны выше среднемирового и выход не позднее 2030 года на четвертое место в мире по объему валового внутреннего продукта, рассчитанного по паритету покупательной способности, в том числе за счет роста производительности труда, при сохранении макроэкономической стабильности, низкого уровня безработицы и снижении уровня структурной безработицы;5.1.а. Темп роста ВВП, в % к предыдущему году;в % к предыдущему году;Основной;105.9;98.8;103.6;103.9;102.5;102.6;102.8;103;103.1;103.2;;Единый план;Новак А.В.;нет;G;нет;нет;;;;;не релевантная информация. Для обсуждения - использование данных по ВРП ;;;
5. Устойчивая и динамичная экономика;5.1. Обеспечение темпа роста валового внутреннего продукта страны выше среднемирового и выход не позднее 2030 года на четвертое место в мире по объему валового внутреннего продукта, рассчитанного по паритету покупательной способности, в том числе за счет роста производительности труда, при сохранении макроэкономической стабильности, низкого уровня безработицы и снижении уровня структурной безработицы;5.1.б. Место России в мире по ВВП ППС, место;место;Основной;4;4;4;4;4;4;4;4;4;4;;Единый план;Новак А.В.;нет;G;нет;;;;;;без декомпозиции по субъектам РФ ;;;
5. Устойчивая и динамичная экономика;5.1. Обеспечение темпа роста валового внутреннего продукта страны выше среднемирового и выход не позднее 2030 года на четвертое место в мире по объему валового внутреннего продукта, рассчитанного по паритету покупательной способности, в том числе за счет роста производительности труда, при сохранении макроэкономической стабильности, низкого уровня безработицы и снижении уровня структурной безработицы;Дополнительный: Прирост объема инвестиций в основной капитал к 2020 году, %;%;Дополнительный;8.6;15.9;27.2;37.2;39;42.1;45.7;49.9;54.6;60;;НП «Эффективная и конкурентная экономика»;Минэкономразвития России;нет;G;нет;;https://fedstat.ru/indicator/62978;;;;Смотрми альунативные по регионам;;;
5. Устойчивая и динамичная экономика;5.1. Обеспечение темпа роста валового внутреннего продукта страны выше среднемирового и выход не позднее 2030 года на четвертое место в мире по объему валового внутреннего продукта, рассчитанного по паритету покупательной способности, в том числе за счет роста производительности труда, при сохранении макроэкономической стабильности, низкого уровня безработицы и снижении уровня структурной безработицы;Дополнительный: Реальные денежные доходы населения, в % к предыдущему году;в % к предыдущему году;Дополнительный;103.9;104;105.6;107.2;106.2;104.8;103.5;103.1;103.1;103.1;;Единый план;Минэкономразвития России, Минтруд России;нет;G;;;;;;;нет источника ! ;;;
5. Устойчивая и динамичная экономика;5.1. Обеспечение темпа роста валового внутреннего продукта страны выше среднемирового и выход не позднее 2030 года на четвертое место в мире по объему валового внутреннего продукта, рассчитанного по паритету покупательной способности, в том числе за счет роста производительности труда, при сохранении макроэкономической стабильности, низкого уровня безработицы и снижении уровня структурной безработицы;Дополнительный: Прирост объема экспорта несырьевых неэнергетических товаров, в % к 2023 году;в % к 2023 году;Дополнительный;;;;-6.5;0.5;4.5;13.6;31.5;47.6;67;;НП «Международная кооперация и экспорт»;Минпромторг России;;;;;;;;;;;;
5. Устойчивая и динамичная экономика;5.1. Обеспечение темпа роста валового внутреннего продукта страны выше среднемирового и выход не позднее 2030 года на четвертое место в мире по объему валового внутреннего продукта, рассчитанного по паритету покупательной способности, в том числе за счет роста производительности труда, при сохранении макроэкономической стабильности, низкого уровня безработицы и снижении уровня структурной безработицы;Дополнительный: Доля импорта товаров и услуг, в % к ВВП;в % к ВВП;Дополнительный;20.4;15.1;18.7;17.5;18.3;18.7;18.6;18.3;17.8;17;;Единый план;Минпромторг России, Минэкономразвития России, Минсельхоз России;;;;;;;;;;;;
